N (kg/ha),P(kg/ha),K(kg/ha),pH,Humidity(%),Temperature(°C),Rainfall(mm),Crop Yield(kg/ha),District,Soil Type,Crop Name
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
115,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
120,60,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
110,55,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
125,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
105,52,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
112,56,76,5.6,82,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,79,5.7,81,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,79,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,61,84,5.8,83,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,51,70,5.4,77,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
117,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
122,61,82,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
112,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
127,63,86,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
107,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
113,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
119,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
109,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
124,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
104,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
106,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
114,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
106,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
114,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
106,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
114,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
106,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
114,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
106,53,72,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
114,57,77,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
118,59,80,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
108,54,74,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
123,62,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
103,52,71,5.4,78,24,1800,1650,Siliguri,Red and Laterite Soil,Rice
116,58,78,5.6,83,26,1880,1750,Siliguri,Red and Laterite Soil,Rice
121,61,81,5.7,82,25,1850,1800,Siliguri,Red and Laterite Soil,Rice
111,56,75,5.5,80,27,1900,1700,Siliguri,Red and Laterite Soil,Rice
126,63,85,5.8,84,28,1950,1880,Siliguri,Red and Laterite Soil,Rice
35,18,28,6.2,74,26,1350,700,Birbhum,Red & Laterite Soil,Pearlmillet
40,22,32,6.5,72,27,1450,750,Birbhum,Red & Laterite Soil,Pearlmillet
32,16,25,6,76,25,1250,650,Birbhum,Red & Laterite Soil,Pearlmillet
38,20,30,6.3,73,24,1400,780,Birbhum,Red & Laterite Soil,Pearlmillet
42,24,35,6.7,70,28,1550,820,Birbhum,Red & Laterite Soil,Pearlmillet
37,19,29,6.4,75,26,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
41,23,33,6.6,71,27,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
33,17,26,6.1,77,25,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
39,21,31,6.4,74,24,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
43,25,36,6.8,71,28,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
36,18,28,6.3,76,27,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
40,22,32,6.6,72,28,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
34,17,26,6.2,78,26,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
38,20,30,6.5,75,25,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
42,24,35,6.9,72,29,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
37,19,29,6.5,77,27,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
41,23,33,6.7,73,28,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
35,17,27,6.1,79,26,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
39,21,31,6.6,76,25,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
43,25,36,7,73,30,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
36,18,28,6.4,78,28,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
40,22,32,6.8,74,29,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
34,17,26,6.3,80,27,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
38,20,30,6.7,77,26,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
42,24,35,7.1,74,31,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
37,19,29,6.6,79,29,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
41,23,33,6.9,75,30,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
35,17,27,6.2,81,28,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
39,21,31,6.7,78,27,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
43,25,36,7.2,75,32,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
36,18,28,6.5,80,30,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
40,22,32,6.9,76,31,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
34,17,26,6.4,82,28,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
38,20,30,6.8,79,29,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
42,24,35,7.3,76,33,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
37,19,29,6.7,81,31,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
41,23,33,7,77,32,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
35,17,27,6.3,83,29,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
39,21,31,6.8,80,28,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
43,25,36,7.4,77,34,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
36,18,28,6.6,82,32,1375,725,Birbhum,Red & Laterite Soil,Pearlmillet
40,22,32,7.1,78,33,1475,775,Birbhum,Red & Laterite Soil,Pearlmillet
34,17,26,6.5,84,30,1275,675,Birbhum,Red & Laterite Soil,Pearlmillet
38,20,30,6.9,81,29,1425,785,Birbhum,Red & Laterite Soil,Pearlmillet
42,24,35,7.5,78,35,1575,825,Birbhum,Red & Laterite Soil,Pearlmillet
40,20,30,6.4,76,25,1250,600,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
45,22,35,6.7,74,26,1350,650,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
38,18,28,6.2,77,24,1200,580,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,20,32,6.5,75,23,1300,620,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
48,24,38,6.8,72,27,1450,700,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
41,21,31,6.6,75,24,1275,610,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
46,23,36,6.9,73,25,1375,660,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
39,19,29,6.3,76,23,1225,590,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
43,21,33,6.6,74,22,1325,630,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
49,25,39,7,71,26,1475,710,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,22,34,6.7,76,25,1300,640,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
47,24,37,7,74,26,1400,680,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
40,20,30,6.5,77,24,1250,605,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
44,22,35,6.8,75,25,1350,655,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
38,18,28,6.4,78,23,1200,585,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,20,32,6.6,76,22,1300,625,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
48,24,38,7,73,27,1450,705,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
41,21,31,6.7,76,24,1275,615,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
45,23,36,7,74,25,1375,665,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
39,19,29,6.5,77,23,1225,595,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
43,21,33,6.8,75,22,1325,635,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
49,25,39,7.1,72,26,1475,715,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,22,34,6.9,77,25,1300,645,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
47,24,37,7.2,75,26,1400,685,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
40,20,30,6.6,78,24,1250,610,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
44,22,35,6.9,76,25,1350,660,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
38,18,28,6.5,79,23,1200,590,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,20,32,6.8,77,22,1300,630,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
48,24,38,7.2,74,27,1450,710,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
41,21,31,6.8,77,24,1275,620,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
45,23,36,7.1,75,25,1375,670,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
39,19,29,6.6,78,23,1225,600,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
43,21,33,7,76,22,1325,640,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
49,25,39,7.3,73,26,1475,720,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,22,34,7,78,25,1300,650,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
47,24,37,7.4,76,26,1400,690,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
40,20,30,6.7,79,24,1250,615,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
44,22,35,7.2,77,25,1350,665,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
38,18,28,6.6,80,23,1200,595,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,20,32,7.1,78,22,1300,635,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
48,24,38,7.5,75,27,1450,715,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
41,21,31,6.9,78,24,1275,625,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
45,23,36,7.3,76,25,1375,675,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
39,19,29,6.7,79,23,1225,605,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
43,21,33,7.2,77,22,1325,645,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
49,25,39,7.4,74,26,1475,725,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
42,22,34,7.3,79,25,1300,655,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
47,24,37,7.6,77,26,1400,695,Birbhum,Red & Laterite Soil,Redgram (Pigeon Pea)
28,14,22,6.1,80,23,1300,500,Birbhum,Red & Laterite Soil,Horsegram
32,16,25,6.3,78,25,1400,550,Birbhum,Red & Laterite Soil,Horsegram
26,12,20,5.9,82,24,1200,470,Birbhum,Red & Laterite Soil,Horsegram
30,15,22,6.2,79,26,1350,520,Birbhum,Red & Laterite Soil,Horsegram
34,18,27,6.5,76,24,1500,580,Birbhum,Red & Laterite Soil,Horsegram
29,14,23,6,81,22,1325,510,Birbhum,Red & Laterite Soil,Horsegram
33,17,26,6.4,79,24,1425,560,Birbhum,Red & Laterite Soil,Horsegram
27,13,21,5.8,83,23,1225,480,Birbhum,Red & Laterite Soil,Horsegram
31,15,23,6.1,80,25,1375,530,Birbhum,Red & Laterite Soil,Horsegram
35,19,28,6.6,77,23,1525,590,Birbhum,Red & Laterite Soil,Horsegram
28,14,22,6.2,81,22,1310,505,Birbhum,Red & Laterite Soil,Horsegram
32,16,25,6.4,79,24,1410,555,Birbhum,Red & Laterite Soil,Horsegram
26,12,20,6,83,23,1210,475,Birbhum,Red & Laterite Soil,Horsegram
30,15,22,6.3,80,25,1360,525,Birbhum,Red & Laterite Soil,Horsegram
34,18,27,6.7,77,23,1510,585,Birbhum,Red & Laterite Soil,Horsegram
29,14,23,6.1,82,22,1320,515,Birbhum,Red & Laterite Soil,Horsegram
33,17,26,6.5,80,24,1420,565,Birbhum,Red & Laterite Soil,Horsegram
27,13,21,5.9,84,23,1220,485,Birbhum,Red & Laterite Soil,Horsegram
31,15,23,6.2,81,25,1370,535,Birbhum,Red & Laterite Soil,Horsegram
35,19,28,6.8,78,23,1520,595,Birbhum,Red & Laterite Soil,Horsegram
28,14,22,6.3,82,22,1325,520,Birbhum,Red & Laterite Soil,Horsegram
32,16,25,6.6,80,24,1425,570,Birbhum,Red & Laterite Soil,Horsegram
26,12,20,6.1,84,23,1225,490,Birbhum,Red & Laterite Soil,Horsegram
30,15,22,6.4,81,25,1375,540,Birbhum,Red & Laterite Soil,Horsegram
34,18,27,6.9,78,23,1525,600,Birbhum,Red & Laterite Soil,Horsegram
29,14,23,6.2,83,22,1330,525,Birbhum,Red & Laterite Soil,Horsegram
33,17,26,6.7,81,24,1430,575,Birbhum,Red & Laterite Soil,Horsegram
27,13,21,6,85,23,1230,495,Birbhum,Red & Laterite Soil,Horsegram
31,15,23,6.3,82,25,1380,545,Birbhum,Red & Laterite Soil,Horsegram
35,19,28,7,79,23,1530,605,Birbhum,Red & Laterite Soil,Horsegram
28,14,22,6.4,83,22,1335,530,Birbhum,Red & Laterite Soil,Horsegram
32,16,25,6.8,81,24,1435,580,Birbhum,Red & Laterite Soil,Horsegram
26,12,20,6.2,85,23,1235,500,Birbhum,Red & Laterite Soil,Horsegram
30,15,22,6.5,82,25,1385,550,Birbhum,Red & Laterite Soil,Horsegram
34,18,27,7.1,79,23,1535,610,Birbhum,Red & Laterite Soil,Horsegram
29,14,23,6.3,84,22,1340,535,Birbhum,Red & Laterite Soil,Horsegram
33,17,26,6.9,82,24,1440,585,Birbhum,Red & Laterite Soil,Horsegram
27,13,21,6.1,86,23,1240,505,Birbhum,Red & Laterite Soil,Horsegram
31,15,23,6.4,83,25,1390,555,Birbhum,Red & Laterite Soil,Horsegram
35,19,28,7.2,80,23,1540,615,Birbhum,Red & Laterite Soil,Horsegram
25,15,20,6,75,24,1100,400,Birbhum,Red & Laterite Soil,Greengram and Blackgram
30,18,25,6.2,74,25,1200,450,Birbhum,Red & Laterite Soil,Greengram and Blackgram
22,12,18,5.8,77,23,1000,350,Birbhum,Red & Laterite Soil,Greengram and Blackgram
28,16,22,6.1,76,22,1150,420,Birbhum,Red & Laterite Soil,Greengram and Blackgram
32,20,28,6.4,73,26,1300,480,Birbhum,Red & Laterite Soil,Greengram and Blackgram
27,14,21,6.1,76,23,1125,410,Birbhum,Red & Laterite Soil,Greengram and Blackgram
31,19,26,6.3,75,24,1225,460,Birbhum,Red & Laterite Soil,Greengram and Blackgram
23,13,19,5.9,78,22,1025,375,Birbhum,Red & Laterite Soil,Greengram and Blackgram
29,17,23,6.2,77,21,1175,435,Birbhum,Red & Laterite Soil,Greengram and Blackgram
33,21,29,6.5,74,25,1325,495,Birbhum,Red & Laterite Soil,Greengram and Blackgram
26,14,21,6,77,23,1110,410,Birbhum,Red & Laterite Soil,Greengram and Blackgram
30,18,25,6.3,76,24,1210,460,Birbhum,Red & Laterite Soil,Greengram and Blackgram
24,12,18,5.7,79,22,1010,365,Birbhum,Red & Laterite Soil,Greengram and Blackgram
28,16,22,6.2,78,21,1160,430,Birbhum,Red & Laterite Soil,Greengram and Blackgram
32,20,28,6.6,75,24,1310,490,Birbhum,Red & Laterite Soil,Greengram and Blackgram
27,15,21,6.1,78,23,1125,415,Birbhum,Red & Laterite Soil,Greengram and Blackgram
31,19,26,6.4,77,24,1225,465,Birbhum,Red & Laterite Soil,Greengram and Blackgram
25,13,19,5.8,80,22,1025,380,Birbhum,Red & Laterite Soil,Greengram and Blackgram
29,17,23,6.3,79,21,1175,440,Birbhum,Red & Laterite Soil,Greengram and Blackgram
33,21,29,6.7,76,25,1325,500,Birbhum,Red & Laterite Soil,Greengram and Blackgram
26,14,21,6,79,23,1110,415,Birbhum,Red & Laterite Soil,Greengram and Blackgram
30,18,25,6.5,78,24,1210,465,Birbhum,Red & Laterite Soil,Greengram and Blackgram
24,12,18,5.9,81,22,1010,370,Birbhum,Red & Laterite Soil,Greengram and Blackgram
28,16,22,6.4,80,21,1160,435,Birbhum,Red & Laterite Soil,Greengram and Blackgram
32,20,28,6.8,77,24,1310,495,Birbhum,Red & Laterite Soil,Greengram and Blackgram
27,15,21,6.2,80,23,1125,420,Birbhum,Red & Laterite Soil,Greengram and Blackgram
31,19,26,6.5,79,24,1225,470,Birbhum,Red & Laterite Soil,Greengram and Blackgram
45,22,35,6.5,68,28,1400,800,Birbhum,Red & Laterite Soil,Groundnut
50,26,40,6.8,67,29,1550,850,Birbhum,Red & Laterite Soil,Groundnut
42,20,32,6.3,70,26,1450,750,Birbhum,Red & Laterite Soil,Groundnut
48,24,38,6.7,69,27,1500,820,Birbhum,Red & Laterite Soil,Groundnut
55,28,45,7,66,30,1600,900,Birbhum,Red & Laterite Soil,Groundnut
47,23,37,6.6,67,28,1450,810,Birbhum,Red & Laterite Soil,Groundnut
52,27,42,6.9,66,29,1600,860,Birbhum,Red & Laterite Soil,Groundnut
44,21,34,6.4,69,25,1400,780,Birbhum,Red & Laterite Soil,Groundnut
49,25,39,6.7,68,26,1550,830,Birbhum,Red & Laterite Soil,Groundnut
56,29,46,7.1,65,31,1650,910,Birbhum,Red & Laterite Soil,Groundnut
46,22,36,6.5,68,27,1450,820,Birbhum,Red & Laterite Soil,Groundnut
51,26,41,6.8,67,28,1600,870,Birbhum,Red & Laterite Soil,Groundnut
43,21,33,6.3,70,25,1425,770,Birbhum,Red & Laterite Soil,Groundnut
48,24,38,6.6,69,26,1525,830,Birbhum,Red & Laterite Soil,Groundnut
57,30,47,7.2,65,32,1700,920,Birbhum,Red & Laterite Soil,Groundnut
48,23,37,6.5,68,28,1450,815,Birbhum,Red & Laterite Soil,Groundnut
53,27,42,7,67,29,1600,870,Birbhum,Red & Laterite Soil,Groundnut
45,22,35,6.4,69,25,1425,785,Birbhum,Red & Laterite Soil,Groundnut
50,25,40,6.7,68,26,1575,835,Birbhum,Red & Laterite Soil,Groundnut
58,31,48,7.3,64,33,1750,930,Birbhum,Red & Laterite Soil,Groundnut
49,23,38,6.6,67,27,1475,825,Birbhum,Red & Laterite Soil,Groundnut
54,28,43,7.1,66,28,1625,880,Birbhum,Red & Laterite Soil,Groundnut
46,22,36,6.5,69,24,1475,830,Birbhum,Red & Laterite Soil,Groundnut
51,26,41,6.8,68,25,1625,880,Birbhum,Red & Laterite Soil,Groundnut
43,21,33,6.3,71,24,1450,775,Birbhum,Red & Laterite Soil,Groundnut
48,24,38,6.7,70,25,1550,835,Birbhum,Red & Laterite Soil,Groundnut
56,29,46,7.2,67,30,1650,920,Birbhum,Red & Laterite Soil,Groundnut
47,23,37,6.6,68,27,1475,820,Birbhum,Red & Laterite Soil,Groundnut
52,27,42,6.9,67,28,1625,870,Birbhum,Red & Laterite Soil,Groundnut
44,21,34,6.4,70,24,1475,790,Birbhum,Red & Laterite Soil,Groundnut
49,25,39,6.7,69,25,1575,840,Birbhum,Red & Laterite Soil,Groundnut
57,30,47,7.3,66,31,1700,930,Birbhum,Red & Laterite Soil,Groundnut
46,22,36,6.5,69,26,1475,835,Birbhum,Red & Laterite Soil,Groundnut
51,26,41,6.8,68,27,1625,885,Birbhum,Red & Laterite Soil,Groundnut
43,21,33,6.3,71,25,1450,780,Birbhum,Red & Laterite Soil,Groundnut
48,24,38,6.7,70,26,1550,840,Birbhum,Red & Laterite Soil,Groundnut
56,29,46,7.2,67,30,1650,925,Birbhum,Red & Laterite Soil,Groundnut
47,23,37,6.6,68,28,1475,825,Birbhum,Red & Laterite Soil,Groundnut
52,27,42,6.9,67,29,1625,875,Birbhum,Red & Laterite Soil,Groundnut
45,22,35,6.4,70,25,1450,790,Birbhum,Red & Laterite Soil,Groundnut
50,25,40,6.7,69,26,1575,845,Birbhum,Red & Laterite Soil,Groundnut
