N (kg/ha),P (kg/ha),K (kg/ha),pH,Humidity (%),Temperature (°C),Rainfall (mm),Crop Yield (kg/ha),District,Soil Type,Crop Name
58,29,39,6.6,85,28,1800,1570,Purulia,Red & Laterite Soil,Guava
50,22,32,6.1,82,28,1800,1420,Purulia,Red & Laterite Soil,Guava
55,27,37,6.3,82,28,1800,1520,Purulia,Red & Laterite Soil,Guava
60,30,40,6.8,84,28,1900,1620,Purulia,Red & Laterite Soil,Guava
52,24,34,6.4,83,28,1800,1470,Purulia,Red & Laterite Soil,Guava
58,29,39,6.7,85,28,1800,1570,Purulia,Red & Laterite Soil,Guava
50,22,32,6.2,82,28,1800,1420,Purulia,Red & Laterite Soil,Guava
55,27,37,6.4,82,28,1800,1520,Purulia,Red & Laterite Soil,Guava
60,30,40,6.9,84,28,1900,1620,Purulia,Red & Laterite Soil,Guava
52,24,34,6.5,83,28,1800,1470,Purulia,Red & Laterite Soil,Guava
58,29,39,6.8,85,28,1800,1570,Purulia,Red & Laterite Soil,Guava
50,22,32,6.3,82,28,1800,1420,Purulia,Red & Laterite Soil,Guava
55,27,37,6.5,82,28,1800,1520,Purulia,Red & Laterite Soil,Guava
60,30,40,7,84,28,1900,1620,Purulia,Red & Laterite Soil,Guava
52,24,34,6.6,83,28,1800,1470,Purulia,Red & Laterite Soil,Guava
58,29,39,6.9,85,28,1800,1570,Purulia,Red & Laterite Soil,Guava
50,22,32,6.4,82,28,1800,1420,Purulia,Red & Laterite Soil,Guava
55,27,37,6.6,82,28,1800,1520,Purulia,Red & Laterite Soil,Guava
60,30,40,7.1,84,28,1900,1620,Purulia,Red & Laterite Soil,Guava
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,5.9,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,5.8,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
26,13,21,5.7,81,23,980,390,Purulia,Red Soil,Sesame
31,16,24,6,84,23,1050,410,Purulia,Red Soil,Sesame
24,11,19,5.4,80,24,950,370,Purulia,Red Soil,Sesame
29,15,23,5.7,83,22,1000,390,Purulia,Red Soil,Sesame
21,9,17,5.2,78,25,900,340,Purulia,Red Soil,Sesame
27,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,6.1,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,5.9,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
26,13,21,5.7,81,23,980,390,Purulia,Red Soil,Sesame
31,16,24,6,84,23,1050,410,Purulia,Red Soil,Sesame
24,11,19,5.4,80,24,950,370,Purulia,Red Soil,Sesame
29,15,23,5.7,83,22,1000,390,Purulia,Red Soil,Sesame
21,9,17,5.2,78,25,900,340,Purulia,Red Soil,Sesame
27,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,6.2,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,6,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
26,13,21,5.7,81,23,980,390,Purulia,Red Soil,Sesame
31,16,24,6,84,23,1050,410,Purulia,Red Soil,Sesame
24,11,19,5.4,80,24,950,370,Purulia,Red Soil,Sesame
29,15,23,5.7,83,22,1000,390,Purulia,Red Soil,Sesame
21,9,17,5.2,78,25,900,340,Purulia,Red Soil,Sesame
27,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,6.3,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,6.1,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
26,13,21,5.7,81,23,980,390,Purulia,Red Soil,Sesame
31,16,24,6.2,84,23,1050,410,Purulia,Red Soil,Sesame
24,11,19,5.4,80,24,950,370,Purulia,Red Soil,Sesame
29,15,23,5.7,83,22,1000,390,Purulia,Red Soil,Sesame
21,9,17,5.2,78,25,900,340,Purulia,Red Soil,Sesame
27,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,6.3,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,6.1,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
26,13,21,5.7,81,23,980,390,Purulia,Red Soil,Sesame
31,16,24,6.2,84,23,1050,410,Purulia,Red Soil,Sesame
24,11,19,5.4,80,24,950,370,Purulia,Red Soil,Sesame
29,15,23,5.7,83,22,1000,390,Purulia,Red Soil,Sesame
21,9,17,5.2,78,25,900,340,Purulia,Red Soil,Sesame
45,22,32,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
48,24,34,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
46,23,33,5.8,82,28,1800,730,Purulia,Red & Laterite Soil,Sesame
38,17,27,5.8,82,28,1800,660,Purulia,Red & Laterite Soil,Sesame
43,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
48,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
45,22,32,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
47,24,34,5.8,82,28,1800,740,Purulia,Red & Laterite Soil,Sesame
39,17,27,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
44,21,31,5.8,82,28,1800,710,Purulia,Red & Laterite Soil,Sesame
49,26,36,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sesame
41,19,29,5.8,82,28,1800,690,Purulia,Red & Laterite Soil,Sesame
32,18,27,5.7,82,24,1050,500,Purulia,Red Soil,Sunflower
37,23,33,6,84,26,1150,550,Purulia,Red Soil,Sunflower
30,15,25,5.6,80,25,1000,480,Purulia,Red Soil,Sunflower
35,20,30,5.9,83,23,1100,520,Purulia,Red Soil,Sunflower
28,13,23,5.5,79,22,950,450,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
36,22,32,5.7,82,24,1080,530,Purulia,Red Soil,Sunflower
29,14,24,5.6,80,23,970,460,Purulia,Red Soil,Sunflower
34,19,29,5.9,83,22,1070,500,Purulia,Red Soil,Sunflower
27,12,22,5.5,79,21,930,440,Purulia,Red Soil,Sunflower
33,18,28,5.7,82,24,1060,510,Purulia,Red Soil,Sunflower
38,23,34,6,84,26,1160,560,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
36,22,32,5.7,82,24,1080,530,Purulia,Red Soil,Sunflower
29,14,24,5.6,80,23,970,460,Purulia,Red Soil,Sunflower
34,19,29,5.9,83,22,1070,500,Purulia,Red Soil,Sunflower
27,12,22,5.5,79,21,930,440,Purulia,Red Soil,Sunflower
32,18,27,5.7,82,24,1050,500,Purulia,Red Soil,Sunflower
37,23,33,6,84,26,1150,550,Purulia,Red Soil,Sunflower
30,15,25,5.6,80,25,1000,480,Purulia,Red Soil,Sunflower
35,20,30,5.9,83,23,1100,520,Purulia,Red Soil,Sunflower
28,13,23,5.5,79,22,950,450,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
36,22,32,5.7,82,24,1080,530,Purulia,Red Soil,Sunflower
29,14,24,5.6,80,23,970,460,Purulia,Red Soil,Sunflower
34,19,29,5.9,83,22,1070,500,Purulia,Red Soil,Sunflower
27,12,22,5.5,79,21,930,440,Purulia,Red Soil,Sunflower
33,18,28,5.7,82,24,1060,510,Purulia,Red Soil,Sunflower
38,23,34,6,84,26,1160,560,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
36,22,32,5.7,82,24,1080,530,Purulia,Red Soil,Sunflower
29,14,24,5.6,80,23,970,460,Purulia,Red Soil,Sunflower
34,19,29,5.9,83,22,1070,500,Purulia,Red Soil,Sunflower
27,12,22,5.5,79,21,930,440,Purulia,Red Soil,Sunflower
32,18,27,5.7,82,24,1050,500,Purulia,Red Soil,Sunflower
37,23,33,6,84,26,1150,550,Purulia,Red Soil,Sunflower
30,15,25,5.6,80,25,1000,480,Purulia,Red Soil,Sunflower
35,20,30,5.9,83,23,1100,520,Purulia,Red Soil,Sunflower
28,13,23,5.5,79,22,950,450,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
36,22,32,5.7,82,24,1080,530,Purulia,Red Soil,Sunflower
29,14,24,5.6,80,23,970,460,Purulia,Red Soil,Sunflower
34,19,29,5.9,83,22,1070,500,Purulia,Red Soil,Sunflower
27,12,22,5.5,79,21,930,440,Purulia,Red Soil,Sunflower
33,18,28,5.7,82,24,1060,510,Purulia,Red Soil,Sunflower
38,23,34,6,84,26,1160,560,Purulia,Red Soil,Sunflower
31,17,26,5.8,81,24,1030,490,Purulia,Red Soil,Sunflower
45,25,35,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
50,30,40,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
42,22,32,5.8,82,28,1800,780,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,820,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sunflower
44,24,34,5.8,82,28,1800,810,Purulia,Red & Laterite Soil,Sunflower
49,29,39,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Sunflower
41,21,31,5.8,82,28,1800,790,Purulia,Red & Laterite Soil,Sunflower
46,26,36,5.8,82,28,1800,830,Purulia,Red & Laterite Soil,Sunflower
38,18,28,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sunflower
43,23,33,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,82,28,1800,780,Purulia,Red & Laterite Soil,Sunflower
45,25,35,5.8,82,28,1800,820,Purulia,Red & Laterite Soil,Sunflower
50,30,40,5.8,82,28,1800,870,Purulia,Red & Laterite Soil,Sunflower
42,22,32,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
47,27,37,5.8,82,28,1800,840,Purulia,Red & Laterite Soil,Sunflower
39,19,29,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sunflower
44,24,34,5.8,82,28,1800,810,Purulia,Red & Laterite Soil,Sunflower
49,29,39,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Sunflower
41,21,31,5.8,82,28,1800,790,Purulia,Red & Laterite Soil,Sunflower
46,26,36,5.8,82,28,1800,830,Purulia,Red & Laterite Soil,Sunflower
38,18,28,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sunflower
43,23,33,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,82,28,1800,780,Purulia,Red & Laterite Soil,Sunflower
45,25,35,5.8,82,28,1800,820,Purulia,Red & Laterite Soil,Sunflower
50,30,40,5.8,82,28,1800,870,Purulia,Red & Laterite Soil,Sunflower
42,22,32,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
47,27,37,5.8,82,28,1800,840,Purulia,Red & Laterite Soil,Sunflower
39,19,29,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sunflower
44,24,34,5.8,82,28,1800,810,Purulia,Red & Laterite Soil,Sunflower
49,29,39,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Sunflower
41,21,31,5.8,82,28,1800,790,Purulia,Red & Laterite Soil,Sunflower
46,26,36,5.8,82,28,1800,830,Purulia,Red & Laterite Soil,Sunflower
38,18,28,5.8,82,28,1800,760,Purulia,Red & Laterite Soil,Sunflower
43,23,33,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
41,19,29,5.7,77,26,1180,590,Purulia,Red Soil,Cotton
46,26,36,6.1,81,28,1280,670,Purulia,Red Soil,Cotton
39,16,26,5.4,74,23,1130,540,Purulia,Red Soil,Cotton
43,21,31,6,79,27,1230,630,Purulia,Red Soil,Cotton
36,15,25,5.3,73,22,1080,510,Purulia,Red Soil,Cotton
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
41,19,29,5.7,77,26,1180,590,Purulia,Red Soil,Cotton
46,26,36,6.1,81,28,1280,670,Purulia,Red Soil,Cotton
39,16,26,5.4,74,23,1130,540,Purulia,Red Soil,Cotton
43,21,31,6,79,27,1230,630,Purulia,Red Soil,Cotton
36,15,25,5.3,73,22,1080,510,Purulia,Red Soil,Cotton
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
41,19,29,5.7,77,26,1180,590,Purulia,Red Soil,Cotton
46,26,36,6.1,81,28,1280,670,Purulia,Red Soil,Cotton
39,16,26,5.4,74,23,1130,540,Purulia,Red Soil,Cotton
43,21,31,6,79,27,1230,630,Purulia,Red Soil,Cotton
36,15,25,5.3,73,22,1080,510,Purulia,Red Soil,Cotton
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
41,19,29,5.7,77,26,1180,590,Purulia,Red Soil,Cotton
46,26,36,6.1,81,28,1280,670,Purulia,Red Soil,Cotton
39,16,26,5.4,74,23,1130,540,Purulia,Red Soil,Cotton
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
50,28,38,5.8,82,28,1800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,1800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,1800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,1800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Cotton
51,29,39,5.8,82,28,1800,910,Purulia,Red & Laterite Soil,Cotton
56,33,43,5.8,82,28,1800,960,Purulia,Red & Laterite Soil,Cotton
49,25,35,5.8,82,28,1800,890,Purulia,Red & Laterite Soil,Cotton
53,31,41,5.8,82,28,1800,930,Purulia,Red & Laterite Soil,Cotton
46,23,33,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Cotton
50,28,38,5.8,82,28,1800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,1800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,1800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,1800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Cotton
51,29,39,5.8,82,28,1800,910,Purulia,Red & Laterite Soil,Cotton
56,33,43,5.8,82,28,1800,960,Purulia,Red & Laterite Soil,Cotton
49,25,35,5.8,82,28,1800,890,Purulia,Red & Laterite Soil,Cotton
53,31,41,5.8,82,28,1800,930,Purulia,Red & Laterite Soil,Cotton
46,23,33,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Cotton
50,28,38,5.8,82,28,1800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,1800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,1800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,1800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Cotton
51,29,39,5.8,82,28,1800,910,Purulia,Red & Laterite Soil,Cotton
56,33,43,5.8,82,28,1800,960,Purulia,Red & Laterite Soil,Cotton
49,25,35,5.8,82,28,1800,890,Purulia,Red & Laterite Soil,Cotton
53,31,41,5.8,82,28,1800,930,Purulia,Red & Laterite Soil,Cotton
46,23,33,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Cotton
50,28,38,5.8,82,28,1800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,1800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,1800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,1800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Cotton
51,29,39,5.8,82,28,1800,910,Purulia,Red & Laterite Soil,Cotton
56,33,43,5.8,82,28,1800,960,Purulia,Red & Laterite Soil,Cotton
49,25,35,5.8,82,28,1800,890,Purulia,Red & Laterite Soil,Cotton
53,31,41,5.8,82,28,1800,930,Purulia,Red & Laterite Soil,Cotton
46,23,33,5.8,82,28,1800,860,Purulia,Red & Laterite Soil,Cotton
100,50,70,5.9,81,23,1750,2050,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
105,52,72,5.6,85,23,1800,2100,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
98,48,66,6,79,27,1700,2000,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
110,55,75,5.7,82,24,1700,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
92,46,62,5.9,77,24,1550,1950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
99,49,67,5.8,80,25,1725,2025,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
104,51,71,5.7,84,26,1775,2075,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
97,47,65,5.9,78,26,1675,1975,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
109,54,74,5.8,81,23,1675,1875,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
91,45,61,6,76,27,1525,1925,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
